,,
0.216397059,0.220524744,
0.179141184,0.175215575,
0.24813559,0.227241929,
0.226872921,0.235994347,
0.380027334,0.396302986,
0.297978841,0.303052438,
0.2985429,0.299572669,
0.423057116,0.41601962,
0.385393381,0.399179192,
0.298252419,0.312936288,
0.232498416,0.235892901,
0.165254791,0.166623563,
0.215086392,0.204751193,
0.186270189,0.194817455,
0.232409059,0.240130004,
0.240850671,0.227510671,
0.250480611,0.253694942,
0.190349924,0.189268095,
0.538178236,0.536069233,
0.471971575,0.482749113,
0.431275342,0.432807844,
0.074405711,0.073103525,
0.213496998,0.20220936,
0.145443521,0.150363532,
0.222500483,0.211987119,
0.190973093,0.17493498,
0.210691128,0.221160777,
0.273803291,0.283039379,
0.131679148,0.124204083,
0.247648912,0.245955417,
0.238462039,0.230589576,
0.360670765,0.369584188,
0.357183848,0.369274689,
0.127186003,0.126847846,
0.189288819,0.185158514,
0.418347691,0.400843033,
0.216397059,0.220524744,
0.338626291,0.340393968,
0.47575543,0.461697464,
0.510160068,0.497402469,
0.339454764,0.334998497,
0.477906244,0.461825316,
0.092009996,0.079088315,
0.280426483,0.285762097,
0.611069505,0.605880233,
0.377765393,0.391073193,
0.148990028,0.154315639,
0.236288696,0.225880379,
0.343759578,0.372898322,
0.182288763,0.189794746,
0.319627067,0.309607313,
0.132682392,0.137502769,
0.214558047,0.218067524,
0.369004878,0.367427768,
0.473246118,0.462642911,
0.461477974,0.478147869,
0.259546646,0.260444293,
0.190974771,0.202243829,
0.554141296,0.549268004,
0.187031778,0.185319546,
0.259549847,0.271238586,
0.264994931,0.261628868,
0.168356932,0.177079477,
0.123097386,0.117669187,
0.248452141,0.257721169,
0.241120654,0.231381651,
0.118619883,0.127958764,
0.216384762,0.217484268,
0.388588603,0.381843781,
0.330971596,0.311021626,
0.34994179,0.346914706,
0.48570402,0.481289416,
0.216397059,0.220524744,
