Factor,Coefficient (B),Std. Error,Std. Beta (β),t-value,p-value,VIF,Min,Max,AktWert,Transf,Standardisiert
cam_vel,-0.0004918620395924131,0.0027579713299914544,-0.0004918620395924131,-0.17834196978180233,0.8597385104644223,,0.0,32.0,16.0,Keine,((cam_vel-16.000000)/13.154354)
ra_vel,0.010608048465250477,0.0025221572844228443,0.010608048465250477,4.205942480576884,0.00024134976601505545,,0.0,77.0,38.5,Keine,((ra_vel-38.500000)/31.652665)
lid_drop,-0.06944544364400418,0.0026554048558346407,-0.06944544364400418,-26.152488006269103,3.2248020210074335e-21,,0.0,8.0,4.0,Keine,((lid_drop-4.000000)/3.288589)
cam_drop,0.05899219428521445,0.013357182116417267,0.05899219428521445,4.416514933393574,0.00013636655375123997,,0.0,5.0,2.5,Keine,((cam_drop-2.500000)/2.055368)
ra_drop,-0.0021767031236860496,0.0025490477095274485,-0.0021767031236860496,-0.8539279651574566,0.40039180813363207,,0.0,7.0,3.5,Keine,((ra_drop-3.500000)/2.877515)
lid_clas,0.003525374745079688,0.0025364608022552457,0.003525374745079688,1.3898794501161493,0.175517848729297,,0.0,1.8,0.9,Keine,((lid_clas-0.900000)/0.739932)
cam_clas,-0.00567152023310117,0.002630322429802448,-0.00567152023310117,-2.1562072272360666,0.03980585809205009,,0.0,1.8,0.9000000000000002,Keine,((cam_clas-0.900000)/0.739932)
ra_clas,-0.0405187843271981,0.012175286424588686,-0.0405187843271981,-3.327953274706384,0.002458158178773507,,0.0,1.8,0.9,Keine,((ra_clas-0.900000)/0.739932)
lid_at,0.002742738751760569,0.002688617539145497,0.002742738751760569,1.0201297550979576,0.31640075218913355,,0.0,1.8,0.9,Keine,((lid_at-0.900000)/0.739932)
cam_at,0.08188411134372411,0.012923910832814614,0.08188411134372411,6.335861675539826,7.448854389118343e-07,,0.0,1.8,0.9,Keine,((cam_at-0.900000)/0.739932)
ra_at,-0.05786067342577929,0.014633038309605682,-0.05786067342577929,-3.954112071708125,0.00047516037153289486,,0.0,1.8,0.9,Keine,((ra_at-0.900000)/0.739932)
FP,0.003068619775777579,0.002367603530406367,0.003068619775777579,1.2960868390202527,0.2055275453948367,,0.0,8.0,4.0,Keine,((FP-4.000000)/3.288589)
lid_drop²,0.021707110734810246,0.004129467337076923,0.021707110734810246,5.256636985576885,1.37536619513126e-05,,,,,,
