Source,Sum of Squares (SS),Degrees of Freedom (DF),Mean Squares (MS),F-statistic,p-value
Regression,1.0514445862336887,44.0,0.02389646786894747,95.181122200107,6.613565545480462e-22
Residual,0.007029766878812625,28.0,0.0002510631028147366,,
Total,1.0584743531125014,72.0,,,
